group,drug_name,ndcnum,generic_name
clindamycin,clindamycin,17478012150,Clindamycin Phosphate
clindamycin,clindamycin,17478012250,Clindamycin Phosphate
clindamycin,clindamycin,18837020430,Clindamycin Hydrochloride
clindamycin,clindamycin,18837020440,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003308,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003312,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003314,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003320,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003321,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003328,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003340,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003342,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003356,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003360,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003390,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003412,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003420,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003421,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003428,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003430,Clindamycin Hydrochloride
clindamycin,clindamycin,21695003440,Clindamycin Hydrochloride
clindamycin,clindamycin,21695085805,Clindamycin Phosphate
clindamycin,clindamycin,21695088860,Clindamycin Phosphate
clindamycin,clindamycin,23490533200,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533201,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533202,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533203,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533204,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533205,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533206,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533207,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533208,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533301,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533303,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533304,Clindamycin Hydrochloride
clindamycin,clindamycin,23490533401,Clindamycin Phosphate
clindamycin,clindamycin,23490533501,Clindamycin Phosphate
clindamycin,clindamycin,23490533601,Clindamycin Phosphate
clindamycin,clindamycin,24200063003,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,24200063103,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,25021011502,Clindamycin Phosphate
clindamycin,clindamycin,25021011504,Clindamycin Phosphate
clindamycin,clindamycin,25021011506,Clindamycin Phosphate
clindamycin,clindamycin,25021011551,Clindamycin Phosphate
clindamycin,clindamycin,33261015900,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015901,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015902,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015903,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015909,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015920,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015921,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015928,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015930,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015940,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015942,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015956,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015960,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015990,Clindamycin Hydrochloride
clindamycin,clindamycin,33261015999,Clindamycin Hydrochloride
clindamycin,clindamycin,33261042201,Clindamycin Phosphate
clindamycin,clindamycin,33261044814,Clindamycin Hydrochloride
clindamycin,clindamycin,33261044816,Clindamycin Hydrochloride
clindamycin,clindamycin,33261044818,Clindamycin Hydrochloride
clindamycin,clindamycin,33261044820,Clindamycin Hydrochloride
clindamycin,clindamycin,33261044821,Clindamycin Hydrochloride
clindamycin,clindamycin,33261044828,Clindamycin Hydrochloride
clindamycin,clindamycin,33261044830,Clindamycin Hydrochloride
clindamycin,clindamycin,33261044840,Clindamycin Hydrochloride
clindamycin,clindamycin,33261044845,Clindamycin Hydrochloride
clindamycin,clindamycin,33358008812,Clindamycin Hydrochloride
clindamycin,clindamycin,33358008828,Clindamycin Hydrochloride
clindamycin,clindamycin,33358008830,Clindamycin Hydrochloride
clindamycin,clindamycin,33358008920,Clindamycin Hydrochloride
clindamycin,clindamycin,33358008930,Clindamycin Hydrochloride
clindamycin,clindamycin,35356022050,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,35356022500,Clindamycin Phosphate
clindamycin,clindamycin,35356022550,Clindamycin Phosphate
clindamycin,clindamycin,38245062811,Clindamycin Phosphate
clindamycin,clindamycin,38245062812,Clindamycin Phosphate
clindamycin,clindamycin,38779000503,Clindamycin Hydrochloride
clindamycin,clindamycin,38779000504,Clindamycin Hydrochloride
clindamycin,clindamycin,38779000505,Clindamycin Hydrochloride
clindamycin,clindamycin,38779000508,Clindamycin Hydrochloride
clindamycin,clindamycin,38779000601,Clindamycin Phosphate
clindamycin,clindamycin,38779000603,Clindamycin Phosphate
clindamycin,clindamycin,38779000604,Clindamycin Phosphate
clindamycin,clindamycin,38779000605,Clindamycin Phosphate
clindamycin,clindamycin,38779000606,Clindamycin Phosphate
clindamycin,clindamycin,38779000609,Clindamycin Phosphate
clindamycin,clindamycin,38779000610,Clindamycin Phosphate
clindamycin,clindamycin,38779000615,Clindamycin Phosphate
clindamycin,clindamycin,38779000625,Clindamycin Phosphate
clindamycin,clindamycin,38779063010,Clindamycin Hydrochloride
clindamycin,clindamycin,38779063015,Clindamycin Hydrochloride
clindamycin,clindamycin,38779063025,Clindamycin Hydrochloride
clindamycin,clindamycin,38779063050,Clindamycin Hydrochloride
clindamycin,clindamycin,39769022602,Clindamycin Phosphate
clindamycin,clindamycin,39769022604,Clindamycin Phosphate
clindamycin,clindamycin,39769022606,Clindamycin Phosphate
clindamycin,clindamycin,39769022660,Clindamycin Phosphate
clindamycin,clindamycin,40076006100,Clindamycin Phosphate
clindamycin,clindamycin,40076006150,Clindamycin Phosphate
clindamycin,clindamycin,42254001640,Clindamycin Phosphate
clindamycin,clindamycin,42254017330,Clindamycin Phosphate
clindamycin,clindamycin,42291021560,Clindamycin Phosphate
clindamycin,clindamycin,42292001801,Clindamycin Hydrochloride
clindamycin,clindamycin,42292001820,Clindamycin Hydrochloride
clindamycin,clindamycin,42549053228,Clindamycin Hydrochloride
clindamycin,clindamycin,42549053260,Clindamycin Hydrochloride
clindamycin,clindamycin,43063005606,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039404,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039406,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039415,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039417,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039420,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039428,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039430,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039440,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039442,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039456,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039460,Clindamycin Hydrochloride
clindamycin,clindamycin,43063039480,Clindamycin Hydrochloride
clindamycin,clindamycin,43538017069,Clindamycin Phosphate
clindamycin,clindamycin,43538017169,Clindamycin Phosphate;Cleanser
clindamycin,clindamycin,43538017201,Clindamycin Phosphate
clindamycin,clindamycin,43538017260,Clindamycin Phosphate
clindamycin,clindamycin,43538017360,Clindamycin Phosphate;Cleanser and Moisturizer
clindamycin,clindamycin,43538017645,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,43538017745,"Benzoyl Peroxide/Clindamycin Phosphate;Lotion, Mul"
clindamycin,clindamycin,44254017330,Clindamycin Phosphate
clindamycin,clindamycin,45802004201,Clindamycin Phosphate
clindamycin,clindamycin,45802026337,Clindamycin Phosphate
clindamycin,clindamycin,45802026393,Clindamycin Phosphate
clindamycin,clindamycin,45802050701,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,45802050702,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,45802050703,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,45802050704,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,45802056201,Clindamycin Phosphate
clindamycin,clindamycin,45802056202,Clindamycin Phosphate
clindamycin,clindamycin,45802066032,Clindamycin Phosphate
clindamycin,clindamycin,45802066033,Clindamycin Phosphate
clindamycin,clindamycin,45802073684,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,47202268101,Clindamycin Hydrochloride
clindamycin,clindamycin,47202268201,Clindamycin Hydrochloride
clindamycin,clindamycin,47463007330,Clindamycin Hydrochloride
clindamycin,clindamycin,47679082201,Clindamycin Hydrochloride
clindamycin,clindamycin,47679082205,Clindamycin Hydrochloride
clindamycin,clindamycin,47679082301,Clindamycin Hydrochloride
clindamycin,clindamycin,47679082335,Clindamycin Hydrochloride
clindamycin,clindamycin,47679087810,Clindamycin Hydrochloride
clindamycin,clindamycin,47679087850,Clindamycin Hydrochloride
clindamycin,clindamycin,47679087896,Clindamycin Hydrochloride
clindamycin,clindamycin,47781045968,Clindamycin Phosphate
clindamycin,clindamycin,47781046068,Clindamycin Phosphate
clindamycin,clindamycin,47781046168,Clindamycin Phosphate
clindamycin,clindamycin,47781046269,Clindamycin Phosphate
clindamycin,clindamycin,47781046369,Clindamycin Phosphate
clindamycin,clindamycin,47781046469,Clindamycin Phosphate
clindamycin,clindamycin,47781046570,Clindamycin Phosphate
clindamycin,clindamycin,49452213801,Clindamycin Hydrochloride
clindamycin,clindamycin,49452213802,Clindamycin Hydrochloride
clindamycin,clindamycin,49452213804,Clindamycin Phosphate
clindamycin,clindamycin,49452213805,Clindamycin Phosphate
clindamycin,clindamycin,49452213901,Clindamycin Hydrochloride
clindamycin,clindamycin,49452213902,Clindamycin Hydrochloride
clindamycin,clindamycin,49452213903,Clindamycin Hydrochloride
clindamycin,clindamycin,49452213904,Clindamycin Hydrochloride
