group,drug_name,ndcnum,generic_name
cephalosporins,cephalexin,00686314713,Cephalexin
cephalosporins,cephalexin,00686417532,Cephalexin
cephalosporins,cephalexin,00686417536,Cephalexin
cephalosporins,cephalexin,00686417732,Cephalexin
cephalosporins,cephalexin,00686417736,Cephalexin
cephalosporins,cephalexin,00719119810,Cephalexin
cephalosporins,cephalexin,00719119812,Cephalexin
cephalosporins,cephalexin,00719119910,Cephalexin
cephalosporins,cephalexin,00719119912,Cephalexin
cephalosporins,cephalexin,00719121110,Cephalexin
cephalosporins,cephalexin,00719121210,Cephalexin
cephalosporins,cephalexin,00719703376,Cephalexin
cephalosporins,cephalexin,00719703379,Cephalexin
cephalosporins,cephalexin,00719703476,Cephalexin
cephalosporins,cephalexin,00719703479,Cephalexin
cephalosporins,cephalexin,00777086902,Cephalexin
cephalosporins,cephalexin,00777086920,Cephalexin
cephalosporins,cephalexin,00777086933,Cephalexin
cephalosporins,cephalexin,00777087102,Cephalexin
cephalosporins,cephalexin,00777087120,Cephalexin
cephalosporins,cephalexin,00777087133,Cephalexin
cephalosporins,cephalexin,00777216024,Cephalexin
cephalosporins,cephalexin,00777216033,Cephalexin
cephalosporins,cephalexin,00777232133,Cephalexin
cephalosporins,cephalexin,00777232148,Cephalexin
cephalosporins,cephalexin,00777232189,Cephalexin
cephalosporins,cephalexin,00777232197,Cephalexin
cephalosporins,cephalexin,00777232237,Cephalexin
cephalosporins,cephalexin,00777236833,Cephalexin
cephalosporins,cephalexin,00777236848,Cephalexin
cephalosporins,cephalexin,00777236889,Cephalexin
cephalosporins,cephalexin,00777414202,Cephalexin Hydrochloride
cephalosporins,cephalexin,00777420202,Cephalexin
cephalosporins,cephalexin,00777420302,Cephalexin
cephalosporins,cephalexin,00781253101,Cephalexin
cephalosporins,cephalexin,00781253105,Cephalexin
cephalosporins,cephalexin,00781253113,Cephalexin
cephalosporins,cephalexin,00781253201,Cephalexin
cephalosporins,cephalexin,00781253205,Cephalexin
cephalosporins,cephalexin,00781253213,Cephalexin
cephalosporins,cephalexin,00781260401,Cephalexin
cephalosporins,cephalexin,00781260501,Cephalexin
cephalosporins,cephalexin,00781702846,Cephalexin
cephalosporins,cephalexin,00781702848,Cephalexin
cephalosporins,cephalexin,00781702946,Cephalexin
cephalosporins,cephalexin,00781702948,Cephalexin
cephalosporins,cephalexin,00814160514,Cephalexin
cephalosporins,cephalexin,00814160528,Cephalexin
cephalosporins,cephalexin,00814160614,Cephalexin
cephalosporins,cephalexin,00814160628,Cephalexin
cephalosporins,cephalexin,00839731106,Cephalexin
cephalosporins,cephalexin,00839731112,Cephalexin
cephalosporins,cephalexin,00839731122,Cephalexin
cephalosporins,cephalexin,00839731206,Cephalexin
cephalosporins,cephalexin,00839731212,Cephalexin
cephalosporins,cephalexin,00839731222,Cephalexin
cephalosporins,cephalexin,00839731373,Cephalexin
cephalosporins,cephalexin,00839731378,Cephalexin
cephalosporins,cephalexin,00839731473,Cephalexin
cephalosporins,cephalexin,00839731478,Cephalexin
cephalosporins,cephalexin,00839746106,Cephalexin
cephalosporins,cephalexin,00839746206,Cephalexin
cephalosporins,cephalexin,00904379560,Cephalexin
cephalosporins,cephalexin,00904379660,Cephalexin
cephalosporins,cephalexin,00904379724,Cephalexin
cephalosporins,cephalexin,00904380040,Cephalexin
cephalosporins,cephalexin,00904380060,Cephalexin
cephalosporins,cephalexin,00904380061,Cephalexin
cephalosporins,cephalexin,00904380139,Cephalexin
cephalosporins,cephalexin,00904380140,Cephalexin
